,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,事,プレイヤー,あたし,スキル,mp,モンスター,装備,agi,ゲーム,hp,npc,わかる,身体,名無し,分かる,カレー,クエスト,学校,2人,ゾンビ
1,収穫,スキル,デート,僕,さん,父さん,魔物,魔,作物,先生,パーティ,リンゴ,陽,たち,卵,ダンジョン,撮る,der golem,領主,お肉。
2,スキル,収穫,魔,パーティ,作物,妹,薬,エリア,potion,果物,冒険者,お陰,事,身体,魔力,agi,品質,魔物,お兄ちゃん,依頼
3,スキル,プレイヤー,モンスター,作物,魔法,湖,取得,種族,agi,魔物,魚,ひとつ,魔,int,魔力,名無し,ギルド,氷,金貨,野菜
4,ギルド,冒険者,種族,スキル,湖,装備,hp,モンスター,ログイン,プレイヤー,野菜,作物,わかる,氷,採集,森,混ぜる,ランク,魔力,草
5,事,結婚,令嬢,婚約,アタシ,スキル,貴族,王,畑,義母,兄さん,妻,2人,王都,収穫,屋敷,馬車,侍女,王妃,夫人
6,魔物,植物,儂,種,畑,異世界,魔力,ー,事,森,魔,魔法,中級,魚,町,精霊,スケルトン,穴,水路,無い
7,装備,スキル,モンスター,プレイヤー,作物,ステータス,エリア,畑,身体,hp,川,リンゴ,尋ねる,収穫,エルフ,木材,湖,杖,耕す,agi
8,ヤツ,たち,子供達,ボク,貴族,教育,嬢,騎士団,王宮,婚約,夫人,令嬢,陛下,男爵,側近,缶詰,レイチェル,猿,侍女,所
9,スキル,モンスター,野菜,装備,冒険者,畑,作物,npc,種族,薬,身体,hp,アタシ,勇者,ランク,ギルド,魔,精霊,g,たち
