,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,神,陛下,彼,薬,王都,平民,帝国,神殿,調合,皇帝,薬学,父,神官,研究室,帝都,ステータス,エレン,新薬,皇子,長
1,魔物,冒険者,わたし,無い,父さん,稽古,師匠,母さん,ウチ,オレ,達,メイド,リン,ギルド,父,塩,ほう,ヤツ,彼,読み書き
2,ギルド,勇者,ステータス,魔物,無い,ランク,スキル,伯爵,魔,村,黒,ッ,狼,獣人,おっさん,依頼,木刀,王様,登録,薬
3,mana,ステータス,精霊,アタシ,ボク,彼女,恐い,蔵,棍棒,エミリア,ジャージ,路地,ククリナイフ,エルザ,スバル,lem,蔵の中,ロズワール,パック,貧民街
4,ステータス,魔物,スキル,ボックス,神,男爵,帝国,オーク,王都,陛下,平民,加護,lv,辺境伯,勇者,モンスター,ジャン,父,薬,達
5,達,x,ゴブリン,hp,スキル,ステータス,地底,竜,蜘蛛,喰,蜻蛉,魔法陣,大剣,モンスター,ダンジョン,ランク,悪食,兎,is,名無し
6,冒険者,ランク,勇者,ステータス,スキル,ギルド,魔物,slime,ゴブリン,依頼,受付嬢,ゴールド,商,無い,q,マリア,リンク,王国,形態,ステーキ
7,無い,王都,彼,父上,猪,森,塩,冬,ランク,兄,毛皮,オレ,建設,帝国,魔,魔物,簪,居る,鉱山,ヤツ
8,魔物,達,迷宮,喰う,熊,縮地,無い,生徒,龍太郎,メルド,クラスメイト,団長,イシュタル,魔法陣,神水,ハジメ,雫,トラウムソルジャー,光輝,纏
9,達,王都,無い,為,分かる,魔物,王様,ランク,勇者,ギルド,訳,オーク,入学式,親父,呪文,ホーンラビット,村,調合,試験,アンタ
