,0,1,2,3,4,5,6,7,8,9
異世界のんびり農家, 0.08, 0.07, 0.01, 0.48, 0.25, 0.00, 0.10, 0.00, 0.00, 0.01
異世界で土地を買って農場を作ろう, 0.00, 0.91, 0.00, 0.03, 0.02, 0.00, 0.03, 0.00, 0.00, 0.00
異世界ですが魔物栽培しています。, 0.18, 0.22, 0.00, 0.03, 0.51, 0.00, 0.05, 0.00, 0.00, 0.00
精霊達の楽園と理想の異世界生活, 0.00, 0.00, 0.00, 0.00, 0.83, 0.00, 0.01, 0.01, 0.00, 0.14
【４月漫画発売！】植物魔法チートでのんびり領主生活始めます～前世の知識を駆使して農業したら、逆転人生始まった件～ , 0.07, 0.10, 0.00, 0.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
栽培チートで最強菜園　～え、ただの家庭菜園ですけど？～, 0.00, 0.00, 0.00, 0.64, 0.05, 0.00, 0.31, 0.00, 0.00, 0.00
異世界ゆるり農家生活, 0.00, 0.00, 0.00, 0.42, 0.46, 0.12, 0.00, 0.00, 0.00, 0.00
陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです, 0.00, 0.00, 0.00, 0.21, 0.00, 0.00, 0.23, 0.00, 0.00, 0.56
【web版】会話もしない連れ子の妹が、長年一緒にバカやってきたネトゲのフレだった, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.07, 0.00, 0.00, 0.22
エリザベートは愛想が尽きた, 0.00, 0.03, 0.00, 0.01, 0.96, 0.00, 0.00, 0.00, 0.00, 0.00
婚約破棄から始まる悪役令嬢の監獄スローライフ【Web版】, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.92
魔法使いの婚約者, 0.00, 0.05, 0.00, 0.88, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00
シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜, 0.00, 0.08, 0.01, 0.65, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00
出遅れテイマーのその日ぐらし, 0.03, 0.57, 0.33, 0.05, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00
職業『木こり』ですが、何か？　～伐採した巨木は経験値の塊でした～, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.97
Unlimited World　～生産職の戦いは9割が準備です～, 0.00, 0.03, 0.46, 0.00, 0.13, 0.00, 0.27, 0.00, 0.11, 0.00
黄金の経験値, 0.00, 0.00, 0.03, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
痛いのは嫌なので防御力に極振りしたいと思います。, 0.01, 0.00, 0.00, 0.85, 0.02, 0.05, 0.00, 0.00, 0.00, 0.07
やがて最強のPKキラー（職業：商人）【旧題：やがて最強のPKK（職業：商人）】, 0.01, 0.22, 0.00, 0.15, 0.04, 0.00, 0.20, 0.00, 0.00, 0.37
