,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,する,いる,の,こと,なる,れる,ある,俺,ん,よう,それ,言う,くる,これ,私,てる,ない,いい,見る,しまう
1,する,いる,の,こと,ある,なる,れる,ん,くる,私,俺,ない,よう,それ,言う,何,思う,さん,てる,くれる
2,する,いる,の,こと,なる,れる,ん,ある,俺,言う,ない,それ,よう,できる,何,くる,私,思う,これ,いい
3,する,いる,の,こと,なる,れる,よう,ない,ある,それ,私,俺,言う,これ,さん,てる,くる,何,できる,られる
4,する,いる,の,れる,こと,なる,それ,言う,ある,よう,私,ん,思う,ない,くる,俺,何,もの,られる,てる
5,する,いる,の,ある,こと,なる,俺,れる,よう,ない,それ,ん,くる,できる,てる,言う,これ,もの,思う,いい
6,する,いる,の,なる,俺,ある,ん,それ,れる,こと,言う,さん,よう,ない,私,僕,くる,てる,見る,できる
7,する,いる,の,なる,ん,こと,言う,ない,よう,俺,れる,ある,くる,それ,てる,何,私,できる,これ,もの
8,する,いる,の,言う,それ,なる,こと,俺,ん,れる,ない,よう,ある,くる,私,思う,さん,これ,いい,られる
9,いる,する,の,ん,よう,れる,こと,ある,それ,なる,俺,言う,さん,思う,私,くる,ない,事,しまう,見る
