,0,1,2
異世界のんびり農家, 0.08, 0.92, 0.00
異世界で土地を買って農場を作ろう, 0.63, 0.36, 0.00
異世界ですが魔物栽培しています。, 0.12, 0.40, 0.48
精霊達の楽園と理想の異世界生活, 0.40, 0.38, 0.22
【４月漫画発売！】植物魔法チートでのんびり領主生活始めます～前世の知識を駆使して農業したら、逆転人生始まった件～ , 0.69, 0.27, 0.03
栽培チートで最強菜園　～え、ただの家庭菜園ですけど？～, 0.51, 0.37, 0.12
異世界ゆるり農家生活, 0.84, 0.16, 0.00
陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです, 0.04, 0.02, 0.94
【web版】会話もしない連れ子の妹が、長年一緒にバカやってきたネトゲのフレだった, 0.47, 0.53, 0.00
エリザベートは愛想が尽きた, 0.01, 0.26, 0.73
婚約破棄から始まる悪役令嬢の監獄スローライフ【Web版】, 0.14, 0.41, 0.45
魔法使いの婚約者, 0.06, 0.61, 0.33
シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜, 0.04, 0.94, 0.02
出遅れテイマーのその日ぐらし, 0.70, 0.26, 0.03
職業『木こり』ですが、何か？　～伐採した巨木は経験値の塊でした～, 0.07, 0.87, 0.06
Unlimited World　～生産職の戦いは9割が準備です～, 0.08, 0.91, 0.02
黄金の経験値, 0.01, 0.99, 0.00
痛いのは嫌なので防御力に極振りしたいと思います。, 0.75, 0.01, 0.24
やがて最強のPKキラー（職業：商人）【旧題：やがて最強のPKK（職業：商人）】, 0.27, 0.72, 0.02
