,0,1,2,3,4,5,6,7,8,9
Ｒｅ：ゼロから始める異世界生活, 0.00, 0.10, 0.00, 0.03, 0.00, 0.01, 0.21, 0.00, 0.00, 0.63
転生したらスライムだった件, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.84, 0.15
異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～, 0.24, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.01, 0.00, 0.43
盾の勇者の成り上がり, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.82, 0.16
私、能力は平均値でって言ったよね！, 0.86, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00
賢者の孫, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.96, 0.02
日本国召喚, 0.00, 0.00, 0.00, 0.41, 0.00, 0.00, 0.00, 0.00, 0.58, 0.00
蜘蛛ですが、なにか？, 0.21, 0.11, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17
無職転生　- 異世界行ったら本気だす -, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.83, 0.03
スライム倒して３００年、知らないうちにレベルＭＡＸになってました, 0.00, 0.03, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 0.17, 0.00
本好きの下剋上　～司書になるためには手段を選んでいられません～, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
八男って、それはないでしょう！　, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.99, 0.00
異世界はスマートフォンとともに。, 0.25, 0.13, 0.00, 0.51, 0.00, 0.00, 0.00, 0.01, 0.07, 0.02
ありふれた職業で世界最強, 0.41, 0.00, 0.00, 0.49, 0.01, 0.00, 0.00, 0.00, 0.07, 0.00
とんでもスキルで異世界放浪メシ, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.50, 0.38
異世界のんびり農家, 0.00, 0.00, 0.00, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02
痛いのは嫌なので防御力に極振りしたいと思います。, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05
異世界居酒屋「のぶ」, 0.00, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.01, 0.64, 0.00
異世界で土地を買って農場を作ろう, 0.00, 0.00, 0.00, 0.83, 0.00, 0.00, 0.00, 0.00, 0.04, 0.13
転生貴族の異世界冒険録～自重を知らない神々の使徒～, 0.07, 0.00, 0.00, 0.83, 0.00, 0.00, 0.00, 0.05, 0.02, 0.04
転生して田舎でスローライフをおくりたい, 0.00, 0.00, 0.00, 0.42, 0.00, 0.00, 0.00, 0.00, 0.06, 0.52
異世界薬局, 0.00, 0.87, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
