,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,する,いる,の,なる,こと,れる,ある,よう,俺,言う,それ,魔法,ん,ない,てる,思う,できる,何,くる,見る
1,する,いる,の,なる,れる,ある,こと,それ,ん,ない,俺,言う,よう,てる,思う,何,もの,これ,ファルマ,られる
2,する,いる,の,れる,なる,よう,俺,こと,ある,ない,ん,それ,てる,言う,思う,くる,何,見る,これ,事
3,する,いる,の,こと,ある,よう,なる,ない,れる,俺,ん,それ,言う,思う,くる,何,これ,いい,できる,魔法
4,する,いる,の,こと,ん,なる,よう,言う,ある,ない,れる,何,俺,それ,魔法,くる,てる,できる,思う,見る
5,する,いる,の,俺,こと,なる,れる,よう,ある,ない,ん,言う,くる,何,思う,魔法,てる,見る,できる,スバル
6,する,いる,の,れる,よう,こと,なる,俺,ある,ん,てる,ない,それ,できる,言う,くる,これ,スバル,思う,何
7,する,いる,の,なる,れる,こと,よう,俺,ん,ない,ある,言う,それ,くる,魔法,られる,何,思う,これ,できる
8,する,いる,の,れる,俺,ある,なる,こと,言う,ん,よう,事,ない,魔法,それ,くる,何,てる,これ,見る
9,する,いる,の,れる,俺,なる,ある,よう,こと,ん,ない,言う,くる,てる,何,それ,魔法,思う,せる,もの
